COUNTRY,TAG,PHONENUMBER,SMS,CHAT,DESCRIPTION,WEBSITE,SOURCE,DATE
United States,US,1 800 273 TALK (8255),/,http://www.suicidepreventionlifeline.org/gethelp/lifelinechat.aspx,National Suicide Prevention Lifeline,http://www.suicidepreventionlifeline.org,https://faq.whatsapp.com/general/security-and-privacy/global-suicide-hotline-resources/,4.7.2020.
United States,US,"1 800 273 8255, Press 1",838255,/,Veterans/Military Crisis Line,http://www.veteranscrisisline.net,https://faq.whatsapp.com/general/security-and-privacy/global-suicide-hotline-resources/,4.7.2020.
United States,US,1 866 488 73865,/,/,The Trevor Project (LGBT),http://www.thetrevorproject.org,https://faq.whatsapp.com/general/security-and-privacy/global-suicide-hotline-resources/,4.7.2020.
Australia,AU,13 11 14,/,/,Lifeline Australia,http://www.lifeline.org.au,https://faq.whatsapp.com/general/security-and-privacy/global-suicide-hotline-resources/,4.7.2020.
Australia,AU,1800 55 1800,/,/,Kids Helpline,http://www.kidshelp.com.au,https://faq.whatsapp.com/general/security-and-privacy/global-suicide-hotline-resources/,4.7.2020.
Australia,AU,1800 650 890,/,/,Headspace,http://www.eheadspace.org.au,https://faq.whatsapp.com/general/security-and-privacy/global-suicide-hotline-resources/,4.7.2020.
Austria,AT,147,/,/,Rat auf Draht,http://rataufdraht.orf.at,https://faq.whatsapp.com/general/security-and-privacy/global-suicide-hotline-resources/,4.7.2020.
Austria,AT,142,/,https://onlineberatung-telefonseelsorge.at,TelefonSeelsorge Ð Notruf 142,http://www.telefonseelsorge.at,https://faq.whatsapp.com/general/security-and-privacy/global-suicide-hotline-resources/,4.7.2020.
Belgium,BE,1813,/,/,Centrum Ter Preventie Van Zelfdoding,http://www.zelfmoord1813.be,https://faq.whatsapp.com/general/security-and-privacy/global-suicide-hotline-resources/,4.7.2020.
Brazil,BR;Brasil,188,/,atendimento@cvv.org.br,CVV,http://www.cvv.org.br,https://faq.whatsapp.com/general/security-and-privacy/global-suicide-hotline-resources/,4.7.2020.
Canada,CA,1 800 6686868,/,/,Kids Help Phone (for youth under 20),/,https://faq.whatsapp.com/general/security-and-privacy/global-suicide-hotline-resources/,4.7.2020.
Canada,CA,/,/,/,Crisis Centre Finder For Your Area (for people over 20),http://suicideprevention.ca/thinking-aboutsuicide/find-a-crisis-centre,https://faq.whatsapp.com/general/security-and-privacy/global-suicide-hotline-resources/,4.7.2020.
Czech Republic,CZ,116 111,/,/,Linka bezpe_’,www.linkabezpeci.cz,https://faq.whatsapp.com/general/security-and-privacy/global-suicide-hotline-resources/,4.7.2020.
Czech Republic,CZ,222 580 697,/,/,Pra_sk‡ linka d_v_ry,http://www.csspraha.cz/linka-duvery,https://faq.whatsapp.com/general/security-and-privacy/global-suicide-hotline-resources/,4.7.2020.
,,,,,,,https://faq.whatsapp.com/general/security-and-privacy/global-suicide-hotline-resources/,4.7.2020.
,,,,,,,https://faq.whatsapp.com/general/security-and-privacy/global-suicide-hotline-resources/,4.7.2020.
,,,,,,,https://faq.whatsapp.com/general/security-and-privacy/global-suicide-hotline-resources/,4.7.2020.
,,,,,,,https://faq.whatsapp.com/general/security-and-privacy/global-suicide-hotline-resources/,4.7.2020.
,,,,,,,https://faq.whatsapp.com/general/security-and-privacy/global-suicide-hotline-resources/,4.7.2020.
,,,,,,,https://faq.whatsapp.com/general/security-and-privacy/global-suicide-hotline-resources/,4.7.2020.
,,,,,,,https://faq.whatsapp.com/general/security-and-privacy/global-suicide-hotline-resources/,4.7.2020.
,,,,,,,https://faq.whatsapp.com/general/security-and-privacy/global-suicide-hotline-resources/,4.7.2020.
,,,,,,,https://faq.whatsapp.com/general/security-and-privacy/global-suicide-hotline-resources/,4.7.2020.
,,,,,,,https://faq.whatsapp.com/general/security-and-privacy/global-suicide-hotline-resources/,4.7.2020.
,,,,,,,https://faq.whatsapp.com/general/security-and-privacy/global-suicide-hotline-resources/,4.7.2020.
,,,,,,,https://faq.whatsapp.com/general/security-and-privacy/global-suicide-hotline-resources/,4.7.2020.
,,,,,,,https://faq.whatsapp.com/general/security-and-privacy/global-suicide-hotline-resources/,4.7.2020.
,,,,,,,https://faq.whatsapp.com/general/security-and-privacy/global-suicide-hotline-resources/,4.7.2020.
,,,,,,,https://faq.whatsapp.com/general/security-and-privacy/global-suicide-hotline-resources/,4.7.2020.
,,,,,,,https://faq.whatsapp.com/general/security-and-privacy/global-suicide-hotline-resources/,4.7.2020.
,,,,,,,https://faq.whatsapp.com/general/security-and-privacy/global-suicide-hotline-resources/,4.7.2020.
,,,,,,,https://faq.whatsapp.com/general/security-and-privacy/global-suicide-hotline-resources/,4.7.2020.
,,,,,,,https://faq.whatsapp.com/general/security-and-privacy/global-suicide-hotline-resources/,4.7.2020.
,,,,,,,https://faq.whatsapp.com/general/security-and-privacy/global-suicide-hotline-resources/,4.7.2020.
,,,,,,,https://faq.whatsapp.com/general/security-and-privacy/global-suicide-hotline-resources/,4.7.2020.
,,,,,,,https://faq.whatsapp.com/general/security-and-privacy/global-suicide-hotline-resources/,4.7.2020.
,,,,,,,https://faq.whatsapp.com/general/security-and-privacy/global-suicide-hotline-resources/,4.7.2020.
,,,,,,,https://faq.whatsapp.com/general/security-and-privacy/global-suicide-hotline-resources/,4.7.2020.
,,,,,,,https://faq.whatsapp.com/general/security-and-privacy/global-suicide-hotline-resources/,4.7.2020.
,,,,,,,https://faq.whatsapp.com/general/security-and-privacy/global-suicide-hotline-resources/,4.7.2020.
,,,,,,,https://faq.whatsapp.com/general/security-and-privacy/global-suicide-hotline-resources/,4.7.2020.
